Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population",
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age00,[0-0],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age01_04,[01-4],1.00000000,0.04055150,,0.01171697,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age05_09,[05-9],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age10_14,[10-14],1.00000000,0.05750431,,0.00935275,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age15_19,[15-19],13.00000000,0.16497462,,0.11406116,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age20_24,[20-24],87.00000000,0.62361121,,0.78336091,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age25_29,[25-29],172.00000000,1.18883052,,1.64100998,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age30_34,[30-34],310.00000000,2.09530247,,3.11961740,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age35_39,[35-39],447.00000000,2.53286491,,4.48188731,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age40_44,[40-44],847.00000000,3.27672250,,8.01998121,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age45_49,[45-49],1223.00000000,2.71777778,,10.84702974,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age50_54,[50-54],1120.00000000,1.66850401,,10.21612672,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age55_59,[55-59],866.00000000,0.99736263,,9.00168506,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age60_64,[60-64],523.00000000,0.50984100,,6.54844737,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age65_69,[65-69],251.00000000,0.22906685,,4.38963214,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age70_74,[70-74],135.00000000,0.11229319,,3.09693688,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age75_79,[75-79],68.00000000,0.04753882,,2.13624197,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age80_84,[80-84],23.00000000,0.01362051,,0.98629056,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age85_over,[85+],14.00000000,0.00507436,,0.78557461,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age_unknown,[Unknown],0.00000000,0.00000000,,,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age00,[0-0],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age01_04,[01-4],1.00000000,0.05373455,,0.01226099,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age05_09,[05-9],1.00000000,0.09881423,,0.00990779,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age10_14,[10-14],1.00000000,0.08149959,,0.00980496,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age15_19,[15-19],9.00000000,0.29722589,,0.08333664,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age20_24,[20-24],38.00000000,0.80067425,,0.35732531,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age25_29,[25-29],77.00000000,1.31804177,,0.74802483,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age30_34,[30-34],182.00000000,2.51415941,,1.83374188,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age35_39,[35-39],256.00000000,2.45893766,,2.55670798,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age40_44,[40-44],348.00000000,2.14695540,,3.35622640,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age45_49,[45-49],417.00000000,1.45554819,,3.73183616,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age50_54,[50-54],364.00000000,0.85462059,,3.25701217,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age55_59,[55-59],278.00000000,0.52248764,,2.75351722,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age60_64,[60-64],156.00000000,0.22824703,,1.79748518,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age65_69,[65-69],61.00000000,0.07581878,,0.93315861,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age70_74,[70-74],39.00000000,0.04020038,,0.77805936,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age75_79,[75-79],18.00000000,0.01380834,,0.43974933,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age80_84,[80-84],15.00000000,0.00817497,,0.43214614,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age85_over,[85+],9.00000000,0.00183813,,0.24813636,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age_unknown,[Unknown],0.00000000,0.00000000,,,
