Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population",
NAC,North America and the Caribbean,USA,United States of America,2010,All,Age_all,[All],8371.00000000,0.33900460,2.32815916,2.70896089,
NAC,North America and the Caribbean,USA,United States of America,2010,Male,Age_all,[All],6101.00000000,0.49478854,3.39296327,3.99774826,
NAC,North America and the Caribbean,USA,United States of America,2010,Female,Age_all,[All],2270.00000000,0.18362190,1.29091524,1.45140146,
NAC,North America and the Caribbean,USA,United States of America,2011,All,Age_all,[All],7683.00000000,0.30543146,2.10526219,2.46578735,
NAC,North America and the Caribbean,USA,United States of America,2011,Male,Age_all,[All],5510.00000000,0.43905152,3.01380971,3.57969433,
NAC,North America and the Caribbean,USA,United States of America,2011,Female,Age_all,[All],2173.00000000,0.17239464,1.22408427,1.37827981,
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age_all,[All],7216.00000000,0.28372821,1.94513673,2.29776803,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age_all,[All],5240.00000000,0.41139340,2.82024663,3.37651068,
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age_all,[All],1976.00000000,0.15564460,1.09775869,1.24390880,
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age_all,[All],6955.00000000,0.26780973,1.84887982,2.19816314,
NAC,North America and the Caribbean,USA,United States of America,2013,Male,Age_all,[All],5096.00000000,0.39018982,2.72110775,3.25813484,
NAC,North America and the Caribbean,USA,United States of America,2013,Female,Age_all,[All],1859.00000000,0.14400114,1.00014149,1.16193285,
NAC,North America and the Caribbean,USA,United States of America,2014,All,Age_all,[All],6721.00000000,0.25589986,1.76279685,2.10905578,
NAC,North America and the Caribbean,USA,United States of America,2014,Male,Age_all,[All],4938.00000000,0.37177044,2.58996708,3.13360939,
NAC,North America and the Caribbean,USA,United States of America,2014,Female,Age_all,[All],1783.00000000,0.13734624,0.95917295,1.10682396,
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age_all,[All],5115.00000000,0.15116459,1.23035972,1.54530484,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age_all,[All],3838.00000000,0.21685037,1.85388620,2.34330140,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age_all,[All],1277.00000000,0.07912780,0.62613284,0.76368002,
NAC,North America and the Caribbean,USA,United States of America,2019,All,Age_all,[All],5044.00000000,0.17668253,1.22457677,1.53282825,
NAC,North America and the Caribbean,USA,United States of America,2019,Male,Age_all,[All],3753.00000000,0.25464388,1.82971382,2.30491022,
NAC,North America and the Caribbean,USA,United States of America,2019,Female,Age_all,[All],1291.00000000,0.09348197,0.63810131,0.77659452,
NAC,North America and the Caribbean,USA,United States of America,2018,All,Age_all,[All],5425.00000000,0.19107461,1.33644471,1.65853315,
NAC,North America and the Caribbean,USA,United States of America,2018,Male,Age_all,[All],4029.00000000,0.27624859,1.99954591,2.48938531,
NAC,North America and the Caribbean,USA,United States of America,2018,Female,Age_all,[All],1396.00000000,0.10110550,0.69234673,0.84478534,
NAC,North America and the Caribbean,USA,United States of America,2017,All,Age_all,[All],5698.00000000,0.20252333,1.42239595,1.75277367,
NAC,North America and the Caribbean,USA,United States of America,2017,Male,Age_all,[All],4207.00000000,0.29233325,2.10580765,2.61562754,
NAC,North America and the Caribbean,USA,United States of America,2017,Female,Age_all,[All],1491.00000000,0.10848433,0.76112396,0.90779674,
NAC,North America and the Caribbean,USA,United States of America,2016,All,Age_all,[All],6160.00000000,0.22446951,1.56207471,1.90702631,
NAC,North America and the Caribbean,USA,United States of America,2016,Male,Age_all,[All],4554.00000000,0.32523182,2.31176245,2.84984381,
NAC,North America and the Caribbean,USA,United States of America,2016,Female,Age_all,[All],1606.00000000,0.11949263,0.83630494,0.98396154,
NAC,North America and the Caribbean,USA,United States of America,2015,All,Age_all,[All],6465.00000000,0.23832959,1.66144659,2.01478249,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age_all,[All],4796.00000000,0.34920533,2.46403229,3.02182339,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age_all,[All],1669.00000000,0.12462422,0.88378206,1.02919110,
