Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population",
AS,Asia,ARE,United Arab Emirates,2020,All,Age_all,[All],14.00000000,0.13517428,0.18546576,0.14155137,
CSA,Central and South America,ARG,Argentina,2020,All,Age_all,[All],1139.00000000,0.30274920,2.43929856,2.52014713,
AS,Asia,ARM,Armenia,2020,All,Age_all,[All],21.00000000,0.05805917,0.67908533,0.70868302,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2020,All,Age_all,[All],2.00000000,0.34843206,1.94920318,2.04229595,
OA,Oceania,AUS,Australia,2020,All,Age_all,[All],43.00000000,0.02665840,0.12504620,0.16760677,
EU,Europe,AUT,Austria,2020,All,Age_all,[All],36.00000000,0.03930174,0.24830582,0.40373024,
EU,Europe,BGR,Bulgaria,2020,All,Age_all,[All],18.00000000,0.01443059,0.24347439,0.25958986,
EU,Europe,BIH,Bosnia and Herzegovina,2020,All,Age_all,[All],6.00000000,0.01350530,0.09998258,0.18288116,
CSA,Central and South America,BRA,Brazil,2020,All,Age_all,[All],10666.00000000,0.68511277,4.52785455,5.01789107,
EU,Europe,CHE,Switzerland,2020,All,Age_all,[All],22.00000000,0.02887329,0.16244441,0.25419943,
CSA,Central and South America,CHL,Chile,2020,All,Age_all,[All],426.00000000,0.33764237,1.99386358,2.22847625,
CSA,Central and South America,COL,Colombia,2020,All,Age_all,[All],2322.00000000,0.77180550,4.32557074,4.56341995,
CSA,Central and South America,CRI,Costa Rica,2020,All,Age_all,[All],180.00000000,0.69241422,3.23316706,3.53348705,
NAC,North America and the Caribbean,CUB,Cuba,2020,All,Age_all,[All],369.00000000,0.32814876,2.83297239,3.25781328,
AS,Asia,CYP,Cyprus,2020,All,Age_all,[All],2.00000000,0.03061849,0.21284702,0.22321254,
EU,Europe,CZE,Czechia,2020,All,Age_all,[All],16.00000000,0.01237538,0.12132217,0.14953054,
EU,Europe,DEU,Germany,2020,All,Age_all,[All],272.00000000,0.02759819,0.21877123,0.32707690,
NAC,North America and the Caribbean,DMA,Dominica,2020,All,Age_all,[All],3.00000000,0.42857143,,,
EU,Europe,DNK,Denmark,2020,All,Age_all,[All],13.00000000,0.02389750,0.11870148,0.22318830,
CSA,Central and South America,ECU,Ecuador,2020,All,Age_all,[All],601.00000000,0.52027425,3.50561674,3.40643972,
EU,Europe,ESP,Spain,2020,All,Age_all,[All],365.00000000,0.07392016,0.54860416,0.77076281,
EU,Europe,EST,Estonia,2020,All,Age_all,[All],32.00000000,0.20400357,2.24774510,2.41229971,
EU,Europe,FIN,Finland,2020,All,Age_all,[All],2.00000000,0.00360373,0.01666649,0.03616936,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2020,All,Age_all,[All],147.00000000,0.02134128,0.17756906,0.21914611,
AS,Asia,GEO,Georgia,2020,All,Age_all,[All],66.00000000,0.13059738,1.56524781,1.77289938,
EU,Europe,GRC,Greece,2020,All,Age_all,[All],42.00000000,0.03204052,0.34709237,0.39257513,
NAC,North America and the Caribbean,GRD,Grenada,2020,All,Age_all,[All],4.00000000,0.38797284,3.25870768,3.55482879,
CSA,Central and South America,GTM,Guatemala,2020,All,Age_all,[All],228.00000000,0.23749753,1.54161429,1.27263618,
EU,Europe,HRV,Croatia,2020,All,Age_all,[All],9.00000000,0.01578311,0.17660962,0.22234959,
EU,Europe,ISL,Iceland,2020,All,Age_all,[All],1.00000000,0.04338395,0.20704415,0.27287884,
AS,Asia,ISR,Israel,2020,All,Age_all,[All],16.00000000,0.03278890,0.18114782,0.17362774,
AS,Asia,JPN,Japan,2020,All,Age_all,[All],49.00000000,0.00356946,0.03204163,0.03970860,
AS,Asia,KAZ,Kazakhstan,2020,All,Age_all,[All],223.00000000,0.13822343,1.17886404,1.18897407,
AS,Asia,KOR,Republic of Korea,2020,All,Age_all,[All],54.00000000,0.01770794,0.06679813,0.10516218,
AS,Asia,LBN,Lebanon,2020,All,Age_all,[All],12.00000000,0.05661178,0.17531758,0.17581271,
NAC,North America and the Caribbean,LCA,Saint Lucia,2020,All,Age_all,[All],8.00000000,0.62843676,3.86048104,4.35665779,
EU,Europe,LTU,Lithuania,2020,All,Age_all,[All],26.00000000,0.05970561,0.84110149,0.93027083,
EU,Europe,LUX,Luxembourg,2020,All,Age_all,[All],2.00000000,0.04599816,0.18515124,0.31724932,
EU,Europe,LVA,Latvia,2020,All,Age_all,[All],50.00000000,0.17489244,2.33133822,2.63095721,
CSA,Central and South America,MEX,Mexico,2020,All,Age_all,[All],4557.00000000,0.42590457,3.51276534,3.53440060,
EU,Europe,MKD,North Macedonia,2020,All,Age_all,[All],5.00000000,0.01941371,0.22695579,0.24125091,
AS,Asia,MNG,Mongolia,2020,All,Age_all,[All],3.00000000,0.01884185,0.09557661,0.09301889,
AF,Africa,MUS,Mauritius,2020,All,Age_all,[All],141.00000000,1.27486438,9.84082852,11.13972854,
AS,Asia,MYS,Malaysia,2020,All,Age_all,[All],226.00000000,0.20704503,0.66354611,0.69826363,
CSA,Central and South America,NIC,Nicaragua,2020,All,Age_all,[All],203.00000000,0.60271370,3.11761016,3.06435724,
EU,Europe,NLD,Netherlands,2020,All,Age_all,[All],23.00000000,0.01363545,0.08993861,0.13133791,
AS,Asia,OMN,Oman,2020,All,Age_all,[All],2.00000000,0.01900057,0.04778821,0.04345203,
CSA,Central and South America,PER,Peru,2020,All,Age_all,[All],1218.00000000,0.52051949,3.54410322,3.69405979,
EU,Europe,POL,Poland,2020,All,Age_all,[All],104.00000000,0.02178672,0.24793324,0.27419121,
CSA,Central and South America,PRY,Paraguay,2020,All,Age_all,[All],279.00000000,0.79119757,4.23350059,3.91165108,
AS,Asia,QAT,Qatar,2020,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
AS,Asia,SGP,Singapore,2020,All,Age_all,[All],13.00000000,0.06194901,0.21345335,0.32144720,
EU,Europe,SRB,Serbia,2020,All,Age_all,[All],26.00000000,0.02225075,0.31034423,0.37685933,
EU,Europe,SVN,Slovenia,2020,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
AF,Africa,SYC,Seychelles,2020,All,Age_all,[All],3.00000000,0.44910180,1.59043613,3.04686072,
CSA,Central and South America,URY,Uruguay,2020,All,Age_all,[All],152.00000000,0.46572908,4.07173230,4.37569990,
NAC,North America and the Caribbean,USA,United States of America,2020,All,Age_all,[All],5115.00000000,0.15116459,1.23035972,1.54530484,
NAC,North America and the Caribbean,VCT,Saint Vincent and the Grenadines,2020,All,Age_all,[All],12.00000000,1.16391853,10.78259123,10.81665765,
